group,task_id,persona,module,task_name,a_time_sec,b_time_sec,time_reduction_percent,a_clicks,b_clicks,click_reduction_percent,a_screens,b_screens,screen_reduction_percent,measured_effort_reduction_percent,a_expert_help,b_expert_help,a_manual_reasoning,b_manual_reasoning,a_success,b_success,target_percent,status,notes
Operational,O1,Operational user,Monitoring,Factory overview and top consumers,84,53,36.9,14,0,100.0,5,1,80.0,63.5,0,0,1,0,1,1,30,TARGET MET,
Operational,O2,Operational user,Monitoring,Compressor-1 status and today's energy,41,18,56.1,8,0,100.0,3,1,66.7,69.7,0,0,1,0,1,1,30,TARGET MET,
Operational,O3,Operational user,Documentation,ISO 50001 and energy baseline,32,14,56.3,2,1,50.0,2,1,50.0,53.1,0,0,1,0,1,1,30,TARGET MET,
Operational,O4,Operational user,Documentation,Anomaly or efficiency procedure,31,9,71.0,2,1,50.0,2,1,50.0,60.5,0,0,1,0,1,1,30,TARGET MET,
Technical,T1,Technical user,Monitoring,Review anomalies,62,10,83.9,14,,n/a,4,1,75.0,79.4,0,0,1,0,1,1,25,TARGET MET,
Technical,T2,Technical user,Analyses,Baseline analysis and recommendations,76,83,-9.2,14,0,100.0,5,1,80.0,40.4,0,0,1,0,1,1,25,TARGET MET,Condition B performed additional analysis while substantially reducing interaction effort.
Technical,T3,Technical user,Analyses,KPI and EnPI status,43,40,7.0,7,0,100.0,3,1,66.7,45.2,0,0,1,0,1,1,25,TARGET MET,
Technical,T4,Technical user,Analyses / Documentation,April 2026 report,31,18,41.9,8,1,87.5,2,1,50.0,55.3,0,0,1,0,1,1,25,TARGET MET,
Subtotal,Operational,Operational user,"Monitoring, Documentation",Operational-user subtotal,188,94,55.1,26,2,92.3,12,4,66.7,61.7,0,0,4,0,4,4,30,TARGET MET,
Subtotal,Technical,Technical user,"Monitoring, Analyses, Documentation",Technical-user subtotal,212,151,30.9,43,1,97.7,14,4,71.4,55.1,0,0,4,0,4,4,25,TARGET MET,
Final,ALL,All personas,"Monitoring, Analyses, Documentation",Final KPI summary,,,,,,,,,,"Operational 61.7; Technical 55.1",0,0,8,0,8,8,,ALL KPI TARGETS MET,DIA module coverage: 3/3.
